Curriculum,Cal_Poly_Pomono,,,,,,,,,,,,
Institution,Cal Poly Pamona,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Life Science,BIO,1110,,,,2,,,3.0,1,2.0,0
2,Life Science Laboratory,BIO,1110L,,1,,1,,,2.0,0,2.0,0
3,Discrete Structures,CS,1300,4,,,3,,,19.0,13,6.0,147
4,Calculus I ,MAT,1140,25;27;26,,,4,,,28.0,22,6.0,486
5,Introduction to Programming and Problem Solving,CS,1400,4,,,4,,,23.0,17,6.0,201
6,Data Structures and Advanced Programming,CS,2400,5;4;3,,,4,,,15.0,9,6.0,321
7,Systems Programming,CS,2600,5,,,3,,,7.0,2,5.0,30
8,Introduction to Cyber Security and Network Communications,CS,2610,7,,,3,,,5.0,0,5.0,0
9,Computer Organization and Assembly Programming,CS,2640,5;3,,,3,,,9.0,3,6.0,66
10,Numerical Methods and Computing,CS,3010,6;7,,,3,,,5.0,0,5.0,0
11,Calculus II,MAT,1150,4,,,4,,,10.0,4,6.0,36
12,Formal Languages and Automata,CS,3110,6,,,3,,,7.0,1,6.0,51
13,Design and Analysis of Algorithms,CS,3310,6;15,,,3,,,8.0,2,6.0,138
14,Object-Oriented Design and Programming,CS,3560,6,,,3,,,5.0,0,5.0,0
15,Probability and Statistics for Computer Scientists and Engineers,MAT,2260,11,,,3,,,9.0,3,6.0,36
16,Computer Architecture,CS,3650,9,,,4,,,7.0,1,6.0,36
17,Computers and Society,CS,3750,,,,3,,,1.0,0,1.0,0
18,Concepts of Programming Languages,CS,4080,9;12,,,3,,,6.0,0,6.0,0
19,Operating Systems,CS,4310,16;20,,,3,,,6.0,0,6.0,0
20,Probability and Statistics for Computer Scientists and Engineers,STA,2260,,,,3,,,3.0,1,2.0,0
21,Undergraduate Seminar,CS,4630,,,,1,,,1.0,0,1.0,0
22,Software Engineering,CS,4800,6,,,3,,,5.0,0,5.0,0
23,Introduction to Newtonian Mechanics,PHY,1510,4,24,,3,,,3.0,0,3.0,0
24,Newtonian Mechanics Laboratory,PHY,1510L,,,,1,,,3.0,1,2.0,0
25,College Algebra,MAT,1050,,,,3,,,29.0,23,6.0,0
26,Trigonometry,MAT,1060,,,,3,,,29.0,23,6.0,0
27,Precalculus,MAT,1070,,,,5,,,29.0,23,6.0,0
28,Symbolic Programming,CS,3520,6,,,3,,,5.0,0,5.0,0
29,Parallel Processing,CS,3700,13,,,3,,,6.0,0,6.0,0
30,Artificial Intelligence,CS,4200,13,,,3,,,6.0,0,6.0,0
31,Introduction to Web Science and Technology,CS,2250,5,,,3,,,4.0,0,4.0,0
32,User Interface Design and Programming,CS,2450,5,,,3,,,4.0,0,4.0,0
33,Internship inComputer Science,CS,4410,,,,2,,,1.0,0,1.0,0
