Curriculum,UCSB,,,,,,,,,,,,
Institution,UCSB,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,quarter,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus with Applications, First Course",MATH,3A,,,,4,,,26.0,32,7.0,0
2,"Calculus with Applications, Second Course",MATH,3B,1,,,4,,,24.0,29,7.0,220
3,Linear Algebra with Applications,MATH,4A,2,,,4,,,21.3,25,7.0,143
4,Differential Equations,MATH,4B,3,,,4,,,4.0,1,5.0,5
5,"Vector Calculus with Applications, First Course",MATH,6A,3,,,4,,,4.0,1,5.0,5
6,Probability and Statistics,PSTAT,120A,3,,,4,,,12.0,11,7.0,54
7,Basic Physics,PHYS,1,1,,,4,,,9.3,7,7.0,18
8,Basic Physics,PHYS,2,7;2,,,4,,,8.7,6,7.0,36
9,Basic Physics,PHYS,3,8;3,,,3,,,8.0,5,7.0,54
10,Physics Laboratory,PHYS,3L,,9,,1,,,3.3,0,5.0,0
11,Introduction to Computer Science,CMPSC,8,,,,4,,,16.7,18,7.0,0
12,Problem Solving with Computers I,CMPSC,16,11;1,,,4,,,16.0,17,7.0,220
13,Problem Solving with Computers II,CMPSC,24,2;12,,,4,,,13.3,13,7.0,177
14,Object Oriented Design and Implementation,CMPSC,32,13,,,4,,,12.0,11,7.0,165
15,Foundations of Computer Science,CMPSC,40,12;3,,,5,,,12.0,11,7.0,147
16,Computer Organization and Logic Design,CMPSC,64,12;3,,,4,,,5.3,2,6.0,16
17,Basic Physics,PHYS,4,9,,,3,,,6.7,3,7.0,39
18,Physics Laboratory,PHYS,4L,,17,,1,,,4.0,0,6.0,0
19,Basic Physics,PHYS,5,17,,,3,,,5.3,1,7.0,21
20,Physics Laboratory,PHYS,5L,,19,,1,,,4.7,0,7.0,0
21,Introduction to Computational Science,CMPSC,111,5;4;13,,,4,,,3.3,0,5.0,0
22,Data Structures and Algorithms I,CMPSC,130A,6;15;14,,,4,,,10.7,9,7.0,327
23,Data Structures and Algorithms II,CMPSC,130B,22,,,4,,,5.3,1,7.0,47
24,Automata and Formal Languages,CMPSC,138,15,,,4,,,4.7,1,6.0,16
25,Software Engineering,CMPSC,172,22,,,4,,,4.0,0,6.0,0
26,Computer Architecture,CMPSC,154,16;14,,,4,,,4.7,1,6.0,34
27,Programming Languages,CMPSC,162,22;24,,,4,,,4.0,0,6.0,0
28,Operating Systems,CMPSC,170,22;26,,,4,,,4.0,0,6.0,0
29,Probability and Statistics,PSTAT,120B,6,,,4,,,3.3,0,5.0,0
30,Ethics in Engineering,ENGR,101,,,,3,,,0.7,0,1.0,0
31,Fundamentals of Database Systems,CMPSC,174A,22,,,4,,,4.0,0,6.0,0
32,Artificial Intelligence,CMPSC,165A,22,,,4,,,4.0,0,6.0,0
33,Machine Learning,CMPSC,165B,22,,,4,,,4.0,0,6.0,0
34,Computer Graphics,CMPSC,180,22,,,4,,,4.0,0,6.0,0
35,Introduction to Computer Vision,CMPSC,181,,,,4,,,0.7,0,1.0,0
36,Mobile Application Development,CMPSC,184,,,,4,,,0.7,0,1.0,0
37,Human-Computer Interaction,CMPSC,185,,,,4,,,0.7,0,1.0,0
38,Design and Implementation Techniques of Database Systems,CMPSC,174B,23,,,4,,,4.7,0,7.0,0
