Curriculum,UC_Berkeley_BA,,,,,,,,,,,,
Institution,UC Berkeley,,,,,,,,,,,,
Degree Type,BA,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Calculus I,MATH,1A,,,,4,,,15.0,10,5.0,0
2,Calculus II,MATH,1B,1,,,4,,,4.0,1,3.0,3
3,Designing Information Devices and Systems I,EE,16A,1,4;2,,4,,,3.0,0,3.0,0
4,The Structure and Interpretation of Computer Programs,CS,61A,,1,,4,,,13.0,8,5.0,27
5,Data Structures,CS,61B,4,,,4,,,11.0,6,5.0,24
6,Great Ideas of Computer Architecture (Machine Structures),CS,61C,5,,,4,,,9.0,4,5.0,20
7,Discrete Mathematics and Probability Theory,CS,70,,,,4,,,4.0,2,2.0,0
8,Computer Architecture and Engineering,CS,152,6,,,4,,,5.0,0,5.0,0
9,Introduction to Artificial Intelligence,CS,188,5;7,,,4,,,4.0,0,4.0,0
10,Introduction to Database Systems,CS,186,6,,,4,,,5.0,0,5.0,0
11,Programming Languages and Compilers,CS,164,6,,,4,,,5.0,0,5.0,0
12,Software Engineering,CS,163,6;7,,,4,,,5.0,0,5.0,0
13,Principles of Computer Aided Architectural Design,ARCH,122,,,,4,,,1.0,0,1.0,0
