Curriculum,Computer Science,,,,,,,,
Institution,CSU_Channel_Islands,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Object-oriented Programming,COMP,150,2;3,,,4,,
2,Pre-Calculus,MATH,105,,,,4,,
3,Introduction to Programming,COMP,105,,,,3,,
4,Data Structures and Program Design,COMP,151,1,,,4,,
5,Computer Architectureand Assembly Language(,COMP,162,1,,,3,,
6,Programming Languages,COMP,232,1;4;5,,,3,,
7,Computer Organization and Architecture,COMP,262,4;5,,,3,,
8,Calculus I,MATH,150,2,,,4,,
9,Calculus II,MATH,151,8,,,4,,
10,Linear Algebra,MATH,240,9,,,3,,
11,General Physics I,PHYS,200,,,,4,,
12,General Physics II,PHYS,201,9;11,,,4,,
13, Discrete Mathematics,MATH,300,,,,3,,
