Curriculum,Computer Science,,,,,,,,
Institution,CSU_Dominguez_Hills,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Scienceand Programming I,CSC,121,2;3,,,4,,
2,Introduction to Programming Concepts,CSC,115,,,,3,,
3,Pre-Calculus with Trigonometry with Lab,MAT,153,,,,4,,
4,Introduction to Computer Scienceand Programming II,CSC,123,1,,,4,,
5,"Assembly Languageand Introduction to Computer
Organization ",CSC,221,1,,,3,,
6,Calculus I,MAT,191,3,,,5,,
7,Calculus II,MAT,193,6,,,5,,
8,Foundations of Higher Mathematics,MAT,271,7,,,3,,
9,Discrete Mathematics,MAT,281,1;3,,,3,,
10,General Physics I,PHYS,130,6,,,5,,
11,General Physics II,PHYS,132,7;10,,,5,,
12,C Language Programming and UNIX,CSC,251,1,,,3,,
