Curriculum,CS,,,,,,,
Institution,San Bernardino,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Discrete Mathematics,MATH,2720,,,,3,
2,Accelerated Preparation for Calculus,MATH,1401,,,,4,
3,Calculus I,MATH,2210,2,,,4,
4,Calculus II,MATH,2220,3,,,4,
5,Statistics with Applications,MATH,2265,3,,,3,
6,Applied Linear Algebra,MATH,2310,3;4,,,4,
7,General Physics I,PHYS,2500,3,,,4,
8,General Physics I Lab,PHYS,2500L,4;7,,,1,
9,General Physics II,PHYS,2510,3;7,,,4,
10,General Physics II Lab,PHYS,2510L,3;8,,,1,
11,Programming Basics,CSE,1250,,,,4,
12,Computer Science I,CSE,2010,11,,,4,
13,Computer Science II,CSE,2020,1;12,,,4,
14,Machine Organization,CSE,2130,12,,,3,
