Curriculum,Computer Science,,,,,,,,
Institution,CSU_East_Bay,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science I,CS,101,,,,4,,
2,Computer Science II,CS,201,1,,,4,,
3,DISCRETE STRUCTURES,CS,211,4,,,3,,
4,Calculus I,MATH,130,5,,,4,,
5,Precalculus with Algebra,MATH,125,,,,5,,
6,Assembly Languageand Computer Architecture,CS,221,1,,,3,,
7,,,,,,,,,
8,Calculus II,MATH,131,4,,,3,,
9,Numerical Algorithms and Linear Algebra for Computer Science,MATH,225,1;4,,,3,,
10,Physics for Scientists and Engineers I,PHYS,135,4,,,4,,
