Curriculum,San_Jose_State,,,,,,,
Institution,San Jose State,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Precalculus,MATH,19,,,,5,
2,Calculus I,MATH,30,1,,,3,
3,Calculus II,MATH,31,2,,,4,
4,Calculus III,MATH,32,3,,,3,
5,Discrete Mathematics,MATH,42,1,,,3,
6,Linear Algebra I,MATH,39,3,,,3,
7,General Physics/Mechanics,PHYS,50,2,,,4,
8,General Physics/Electricity and Magnetism,PHYS,51,7;3,,,4,
9,,,,,,,,
10,,,,,,,,
11,Introduction to Programming,CS,46A,,,,4,
12,Introduction to Data Structures,CS,46B,11;1,,,4,
13,Programming in Java,CS,49J,,,,3,
14,Introduction to Computer Systems,CS,47,5;12,,,3,
