Curriculum,Computer Science,,,,,,,,
Institution,San Diego State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introductory Computer Programming,CS,150,,,,3,,
2,Introductory Computer Programming Laboratory,CS,150L,1,1,,1,,
3,Intermediate Computer Programming,CS,160,1,4,,3,,
4,Intermediate Computer Programming Laboratory,CS,160L,1,,,1,,
5,Data Structures,CS,210,3,,,3,,
6,Computer Organization,CS,240,3,,,3,,
7,,,,,,,,,
8,Calculus I,MATH,150,9,,,4,,
9,Precalculus,MATH,141,,,,3,,
10,Calculus II,MATH,151,8,,,4,,
11,Discrete Mathematics,MATH,245,8,,,3,,
12,Introduction to Linear Algebra,MATH,254,10,,,3,,
13,Principles of Physics,PHYS,195,8,,,3,,
14,Principles of Physics Laboratory,PHYS,195L,13,13,,1,,
15,Principles of Physics,PHYS,196,13;10,,,3,,
16,Principles of Physics Laboratory,PHYS,196L,15,15,,1,,
17,Statistical Principles and Practices,STAT,250,,,,3,,
