Curriculum,Computer Science,,,,,,,,
Institution,Cal Poly Humboldt,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science Foundations 1,CS,111,2,,,4,,
2,Algebra and Elementary Functions,MATH,102,,,,4,,
3,Computer Science Foundations 2,CS,112,1,,,4,,
4,Data Structures Units,CS,211,3;5,,,4,,
5,Discrete Mathematics,MATH,253,2;1,,,3,,
6,Algorithms,CS,312,4;8;7,,,4,,
7, Elementary Statistics,STAT,108,,,,3,,
8,Calculus for the Biological Sciences and Natural Resources,MATH,105,2,,,3,,
9,Database Design,CS,325,3,,,4,,
10,Web-Apps Using Databases,CS,328,9,,,4,,
11,Telecommunications and Networks,CS,346,,,,4,,
12,Architecture,CS,243,3;5,,,4,,
13,Operating Systems,CS,374,4;12,,,4,,
14,Computer Security,CS,449,11,,,4,,
15,Software Engineering,CS,458,10;13,,,4,,
16,Computational Models,CS,461,6;5;8,,,4,,
17,Python Programming,CS,232,1,,,3,,
18,Introduction to Linux,CS,279,1,,,4,,
