Curriculum,Computer Science,,,,,,,,
Institution,Sacramento State,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Programming Concepts and Methodology I,CSC,15,2,,,3,,
2,Introduction to Programming Logic,CSC,10,,,,3,,
3,Programming Concepts and Methodology II,CSC,20,1,,,3,,
4,Discrete Structures for Computer Science,CSC,28,3;5,3,,3,,
5,Pre-Calculus Mathematics,MATH,29,,,,4,,
6,Introduction to Computer Architecture,CSC,35,1,,,3,,
7,Calculus I,MATH,30,5,,,4,,
8,Calculus II,MATH,31,7,,,4,,
9,General Physics: Mechanics,PHYS,11A,8,8,,4,,
10,Introduction to Systems Programming in UNIX,CSC,60,3;6,,,3,,
11,Introduction to Probability and Statistics,STAT,50,7,,,4,,
12,Introduction to Linear Algebra,MATH,35,7,,,3,,
13,Basic Biological Concepts,BIO,10,,,,3,,
14,Data Structures and Algorithm Analysis,CSC,130,3;4,4,,3,,
15,Computer Software Engineering,CSC,131,14,14,,3,,
16,Object-Oriented Computer Graphics Programming,CSC,133,14;15,,,3,,
17,Database Management Systems,CSC,134,14,,,3,,
18,Computing Theory and Programming Languages,CSC,135,4;6;14,,,3,,
19,Computer Organization,CSC,137,4;10;14,,,3,,
20,Computer Networking Fundamentals,CSC,138,10;14,,,3,,
21,Operating System Principles,CSC,139,10;14;19,,,3,,
22,Senior Project - Part I,CSC,190,23;14;15;16;17;18;19,,,2,,
23,Preparing to Write in the Disciplines - Multilingual,ENGL,109M,,,,3,,
24,Senior Project - Part II,CSC,191,22,,,2,,
25,Business and Computer Ethics,PHIL,103,,,,3,,
26,Career Planning,CSC,192,16;17;18;14,,,1,,
27,Computer Science Seminar,CSC,194,,,,1,,
28,Advanced Algorithm Design and Analysis,CSC,140,14,,,3,,
29,Compiler Construction,CSC,151,18,,,3,,
30,Computer Forensics Principles and Practices,CSC,153,20,,,3,,
