Curriculum,Sonoma_State,,,,,,,
Institution,Sonoma State,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Differential and Integral Calculus I,MATH,161,,,,4,
2,Differential and Integral Calculus II,MATH,211,1,,,4,
3,Linear Algebra with Applications in Differential Equations,MATH,241,2,,,4,
4,Programming I,CS,115,,,,4,
5,Introduction to Unix,CS,210,4,6,,4,
6,Programming II,CS,215,4,,,4,
7,Discrete Structures for Computer Science,CS,242,4;1,,,4,
8,Introduction to Computer Organization,CS,252,7;6,,,4,
9,Data Structures,CS,315,5;6;7,,,4,
10,Computer Architecture,CS,351,6;8,,,4,
11,Database Management Systems Design,CS,355,6,,,4,
12,Software Design and Development,CS,370,6,,,4,
13,Algorithm Analysis,CS,415,9,,,4,
14,Operating Systems,CS,450,8;9,,,4,
15,Theory of Computation,CS,454,9,,,4,
16,Programming Languages,CS,460,8;9,,,4,
17,Introduction to Game Programming,CS,330,9,,,3,
18,Computer Security and Malware,CS,340,6;8,,,3,
19,Object-Oriented Programming,CS,360,9,,,3,
20,Advanced Software Design Project,CS,470,9;12,,,3,
