Curriculum,CSU_Bakersfield,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Bakersfield,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,Probability Theory,MATH,3200,,,,4,,,4.0,0,4.0,0,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,Professional Ethics,PHIL,3318,,,,4,,,1.0,0,1.0,0,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,Algorithm Analysis,CMPS,3120,,,,4,,,9.0,3,6.0,40,
14,Theory of Computation,CMPS,3140,13,,,4,,,5.0,0,5.0,0,
15,Computer Architecture II: Organization,CMPS,3240,,,,4,,,6.0,1,5.0,9,
16,Software Engineering,CMPS,3350,,,,4,,,6.0,1,5.0,9,
17,Database Systems,CMPS,3420,,,,4,,,4.0,0,4.0,0,
18,Programming Languages,CMPS,3500,,,,4,,,4.0,0,4.0,0,
19,Artificial Intelligence,CMPS,3560,,,,4,,,4.0,0,4.0,0,
20,Operating Systems,CMPS,3600,,,,4,,,6.0,1,5.0,9,
21,Computer Networks,CMPS,3620,,,,4,,,6.0,1,5.0,9,
22,Distributed and Parallel Computation,CMPS,3640,20;21,,,4,,,5.0,0,5.0,0,
23,Senior Project I,CMPS,4910,13,,,2,,,7.0,1,6.0,49,
24,Senior Project II,CMPS,4928,23,,,2,,,6.0,0,6.0,0,
25,Advanced Computer Architecture,CMPS,4210,15,,,4,,,5.0,0,5.0,0,
26,Advanced Software Engineering,CMPS,4350,16,,,4,,,5.0,0,5.0,0,
