Curriculum,CSU_San_Marcos,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU San Marcos,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,Social Issues and Professional Practices in Computing: Activities and Lab ,CS,310L,,,,1,,,4.0,0,4.0,0,
12,Data Structures and Algorithms,CS,311,,,,3,,,14.0,7,7.0,32,
13,Computer Architecture,CS,331,,,,3,,,9.0,2,7.0,7,
14,Programming Languages,CS,351,13,,,3,,,8.0,1,7.0,12,
15,Introduction to Software Engineering,CS,370,12,,,3,,,8.0,1,7.0,18,
16,Operating Systems,CS,433,12,,,3,,,8.0,1,7.0,13,
17,Introduction to Networking,CS,436,12,,,3,,,6.0,0,6.0,0,
18,Fundamentals of Database Systems,CS,443,12,,,3,,,6.0,0,6.0,0,
19,Introduction to Artificial Intelligence,CS,471,14,,,3,,,7.0,0,7.0,0,
20,Capstone Project,CS,490,15,,,1,,,7.0,0,7.0,0,
21,Introduction to Computer Security,CS,452,16,,,3,,,7.0,0,7.0,0,
22,Real-Time Concepts for Embedded Systems ,CS,435,12,,,3,,,6.0,0,6.0,0,
23,Introduction to Optimization,MATH,480,,,,3,,,5.0,0,5.0,0,
