Curriculum,Cal_Poly_Humboldt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,Cal Poly Humboldt,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,Algorithms,CS,312,,,,4,,,7.0,1,6.0,24,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Database Design,CS,325,,,,4,,,8.0,2,6.0,6,
10,Web-Apps Using Databases,CS,328,9,,,4,,,7.0,1,6.0,6,
11,Telecommunications and Networks,CS,346,,,,4,,,3.0,1,2.0,0,
12,,,,,,,,,,,,,,
13,Operating Systems,CS,374,,,,4,,,7.0,1,6.0,34,
14,Computer Security,CS,449,11,,,4,,,2.0,0,2.0,0,
15,Software Engineering,CS,458,13;10,,,4,,,6.0,0,6.0,0,
16,Computational Models,CS,461,6,,,4,,,6.0,0,6.0,0,
17,,,,,,,,,,,,,,
18,Introduction to Linux,CS,279,,,,4,,,3.0,0,3.0,0,
