Curriculum,UC_Merced,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,UC Merced,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,Discrete Mathematics,CSE,15,,,,4,,,1.0,0,1.0,0,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,Data Structures,CSE,30,,,,4,,,16.0,10,6.0,93,
16,Computer Organization and Assembly Language,CSE,31,15,,,4,,,15.0,9,6.0,53,
17,,,,,,,,,,,,,,
18,Algorithm Design and Analysis,CSE,100,15,16,,4,,,15.0,8,7.0,192,
19,Software Engineering,CSE,120,16;18,,,4,,,7.0,0,7.0,0,
20,Professional Seminar,ENGR,191,,,,1,,,1.0,0,1.0,0,
21,Exploratory Computing,CSE,106,18,,,4,,,7.0,0,7.0,0,
22,Introduction to Digital Image Processing,CSE,107,18,,,4,,,7.0,0,7.0,0,
23,Database Systems,CSE,111,18,,,4,,,7.0,0,7.0,0,
24,Information Systems and Service Design,CSE,126,,,,4,,,1.0,0,1.0,0,
25,Introduction to Theory of Computation,CSE,135,18,,,4,,,7.0,0,7.0,0,
26,Introduction to Human-Computer Interaction,CSE,155,18,,,4,,,7.0,0,7.0,0,
27,Computer Networks,CSE,160,18,,,4,,,7.0,0,7.0,0,
28,Operating Systems,CSE,150,18,,,4,,,7.0,0,7.0,0,
