Curriculum,UC_Riverside,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,UC Riverside,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,quarter,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1, Professional Development and Mentoring I,ENGR,1,,,,1,,,0.7,0,1.0,0,
2,"Introduction to CS for Science Mathematics, and Engineering I - C++",CS,010A,,,,4,,,16.0,17,7.0,125,
3,,,,,,,,,,,,,,
4,"Introduction to CS for Science, Mathematics, and Engineering II - C++",CS,010B,2,,,4,,,11.3,10,7.0,47,
5,Introduction to Data Structures and Algorithms,CS,010C,4,,,4,,,10.0,8,7.0,43,
6,,,,,,,,,,,,,,
7,"Introduction to Discrete
Structures",MATH,11,2,,,4,,,9.3,7,7.0,56,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,Calculus of Several Variables,MATH,010A,,,,4,,,2.7,0,4.0,0,
12,Applied Linear Algebra,MATH,31,2,,,5,,,4.0,2,4.0,16,
13,General Physics,PHYS,040A,,,,5,,,6.7,3,7.0,13,
14,General Physics,PHYS,040B,13,,,5,,,6.0,2,7.0,20,
15,General Physics,PHYS,040C,14,,,5,,,5.3,1,7.0,26,
16,Introduction to Matlab,CS,009M,,,,4,,,0.7,0,1.0,0,
17,Circuits and Electronics,EE,5,15,,,4,,,4.7,0,7.0,0,
18,Professional Development and Mentoring,ENGR,101I,,,,1,,,0.7,0,1.0,0,
19,Software Construction,CS,100,5,,,4,,,8.0,5,7.0,31,
20,Intermediate Data Structures and Algorithms,CS,141,5;21,,,4,,,4.0,0,6.0,0,
21,Discrete Structures,CS,111,7;2,,,4,,,9.3,6,8.0,112,
22,Automata and Formal Languages,CS,150,5;21,,,4,,,6.7,2,8.0,42,
23,Compiler Design,CS,152,22;21;19,,,4,,,6.0,1,8.0,78,
24,Design of Operating Systems,CS,153,21;19,,,4,,,4.0,0,6.0,0,
25,Design and Architecture of Computer Systems,CS,161,26,,,4,,,3.3,0,5.0,0,
26,Logic Design,CS,120A,,,,5,,,4.7,2,5.0,10,
27,Project in Computer Science,CS,179 (E-Z),28;23;19,,,4,,,5.3,0,8.0,0,
28,Technical Communications,ENGR,180W,29,30,,4,,,2.7,1,3.0,6,
29,Intermediate Composition,ENGL,001B,,,,4,,,3.3,2,3.0,0,
30,Workshop in Writing Across the Curriculum,ENGL,7,,,,0.5,,,3.3,2,3.0,0,
31,Probability and Statistics For Science and Engineering,STAT,155,,,,4,,,3.3,0,5.0,0,
32,Introduction to Embedded Systems,CS,120B,4;26,,,4,,,3.3,0,5.0,0,
33,Computer Graphics,CS,130,19,12,,4,,,4.0,0,6.0,0,
34,Computational Geometry,CS,133,21;12;19,,,4,,,4.0,0,6.0,0,
