Curriculum,UC_Santa_Cruz_BS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,University of California-Santa Cruz,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,quarter,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,Applied Discrete Mathematics,CSE,16,,,,5,,,10.0,10,5.0,44,
5,Vector Calculus,MATH,23A,,,,5,,,4.0,1,5.0,5,
6,Linear Algebra,MATH,21,,,,5,,,2.0,0,3.0,0,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,Computer Architecture,CSE,120,,,,5,,,2.7,0,4.0,0,
12,Introduction to Data Structures and Algorithms,CSE,101,4,,,5,,,8.7,8,5.0,224,
13,Engineering Principles of Electronics,ECE,30,,,,7,,,2.7,0,4.0,0,
14,Introduction to Analysis of Algorithms,CSE,102,12,,,5,,,3.3,0,5.0,0,
15,Computational Models,CSE,103,12,,,5,,,3.3,0,5.0,0,
16,Comparative Programming Languages,CSE,112,12,,,5,,,3.3,0,5.0,0,
17,Principles of Computer Systems Design,CSE,130,12,,,5,,,3.3,0,5.0,0,
18,Probability and Statistics for Engineers,CSE,107,5;4,,,5,,,3.3,0,5.0,0,
19,Technical Writing for Computer Science and Engineering,CSE,185E,,,,5,,,2.0,0,3.0,0,
20,Artificial Intelligence,CSE,140,12,,,5,,,3.3,0,5.0,0,
21,Applied Machine Learning,CSE,144,12,,,5,,,3.3,0,5.0,0,
22,Data Wrangling and Web Scraping,CSE,184,12,,,5,,,3.3,0,5.0,0,
23,Data Programming for Visualization,CSE,163,12,,,5,,,3.3,0,5.0,0,
