,CSU_Fresno,,,,,,,,,,,,,
,Fresno State,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,semester,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,33.0,,,,,,,,,,,,,
Graduation Complexity Total:,172.0,,,,,,,,,,,,,
Residual Difference:,139.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
1.0,Calculus I,MATH,75,,,,4.0,,,25.0,19.0,6.0,0.0,Graduation
5.0,Introduction to Programming and Problem Solving,CSCI,40,1,,,4.0,,,21.0,15.0,6.0,72.0,Graduation
6.0,Introduction to Data Structures,CSCI,41,5,,,4.0,,,19.0,13.0,6.0,41.0,Graduation
7.0,Foundations of Computer Science,CSCI,60,5,,,3.0,,,17.0,11.0,6.0,31.0,Graduation
