,Stainislaus_State,,,,,,,,,,,,,
,Stainislaus State,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,semester,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,44.0,,,,,,,,,,,,,
Graduation Complexity Total:,153.0,,,,,,,,,,,,,
Residual Difference:,109.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
9.0,Computer Programmming I,CS,1500,,,,3.0,,,21.0,16.0,5.0,0.0,Graduation
10.0,Computer Programmming II,CS,2500,9,,,3.0,,,20.0,15.0,5.0,46.0,Graduation
12.0,Data Structures and Algorithms,CS,3100,10,,,3.0,,,14.0,9.0,5.0,34.0,Graduation
12.0,Data Structures and Algorithms,CS,3100,,,,3.0,,,12.0,9.0,3.0,0.0,Residual
