Curriculum,DomiHillsActual,,,,,,,,,,,,
Institution,CSU Dominguez Hills,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
6,Lower Division Computer Science Elective,CSC,2xx,,,,3,,,1.0,0,1.0,0
9,Foundations of Higher Mathematics,MAT,271,,,,3,,,5.0,2,3.0,0
11,General Physics I,PHY,130,,,,5,,,3.0,1,2.0,0
12,General Physics II,PHY,132,11,,,5,,,2.0,0,2.0,0
13,Data Structures,CSC,311,,,,3,,,9.0,6,3.0,0
14,Programming Languages,CSC,321,,,,3,,,6.0,3,3.0,0
15,Computer Organization,CSC,331,,,,3,,,3.0,1,2.0,0
16,Operating Systems,CSC,341,13;15;17,,,3,,,3.0,0,3.0,0
17,Probability and Statistics,MAT,321,9,,,3,,,4.0,1,3.0,3
18,Computers And Society,CSC,301,,,,3,,,5.0,2,3.0,0
19,Analysis Of Algorithms,CSC,401,13,,,3,,,2.0,0,2.0,0
20,Software Engineering,CSC,481,13;18;14,,,3,,,4.0,1,3.0,9
21,Senior Design,CSC,492,20;18;14,,,3,,,3.0,0,3.0,0
22,Finite Automata,MAT,361,,,,3,,,1.0,0,1.0,0
23,Artificial Intelligence,CSC,411,13;14,,,3,,,2.0,0,2.0,0
24,Computer Networks,CSC,451,13,,,3,,,2.0,0,2.0,0
