Curriculum,FullertonActual,,,,,,,,,,,,
Institution,CSU Fullerton,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
5,Python Programming,CPSC,223P,,,,3,,,1.0,0,1.0,0
12,Mathematical Structures II,MATH,170B,,,,3,,,5.0,2,3.0,0
13,Statistics Applied to Natural Sciences,MATH,338,,,,4,,,4.0,2,2.0,0
18,Professional Ethics in Computing,CPSC,315,,,,3,,,1.0,0,1.0,0
19,Compilers and Languages,CPSC,323,,,,3,,,1.0,0,1.0,0
20,File Structures and Database Systems,CPSC,332,,,,3,,,3.0,1,2.0,0
21, Algorithm Engineering,CPSC,335,12,,,3,,,4.0,1,3.0,3
22,Operating Systems Concepts,CPSC,351,,,,3,,,3.0,1,2.0,0
23,Foundations of Software Engineering,CPSC,362,,,,3,,,5.0,2,3.0,0
24,Computer Communications,CPSC,471,22,,,3,,,2.0,0,2.0,0
25, Artificial Intelligence,CPSC,481,13;21,,,3,,,3.0,0,3.0,0
26,Undergraduate Seminar in Computer Science,CPSC,490,23,,,3,,,4.0,1,3.0,3
27,Senior Capstone Project in Computer Science,CPSC,491,26,,,3,,,3.0,0,3.0,0
28,Software Development with Open Source Systems,CPSC,254,,,,3,,,1.0,0,1.0,0
29,Web Front-End Engineering,CPSC,349,,,,3,,,1.0,0,1.0,0
30,Introduction to Data Science and Big Data,CPSC,375,13,,,3,,,2.0,0,2.0,0
31,Mobile Device Application Programming,CPSC,411,,,,3,,,1.0,0,1.0,0
32,Database and Applications,CPSC,431,20,,,3,,,2.0,0,2.0,0
