Curriculum,UCLA,,,,,,,,,,,,
Institution,UC Los Angeles,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,quarter,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Introduction to Computer Science I,COM SCI,31,,,,4,,,18.0,21,6.0,0
2,Introduction to Computer Science II,COM SCI,32,1,,,4,,,16.7,19,6.0,73
3,Introduction to Computer Organization,COM SCI,33,2,,,5,,,10.0,9,6.0,37
4,Software Construction,COM SCI,35L,1,,,4,,,8.7,8,5.0,26
11,Introduction to Discrete Structures,MATH,61,,,,4,,,4.0,3,3.0,0
16,Logic Design of Digital Systems,COM SCI,M51A,,,,4,,,4.0,3,3.0,0
17,Operating Systems Principles,COM SCI,111,4;2;3,,,5,,,6.7,4,6.0,45
18,Computer Network Fundamentals,COM SCI,118,17,,,4,,,5.3,2,6.0,32
19,Programming Languages,COM SCI,131,4;3,,,4,,,5.3,3,5.0,27
20,Introduction to Algorithms and Complexity,COM SCI,180,2;11,,,4,,,4.0,2,4.0,14
21,Introduction to Formal Languages and Automata Theory,COM SCI,181,20,,,4,,,2.7,0,4.0,0
22,Computer Systems Architecture,COM SCI,M151B,16;3,,,4,,,4.0,1,5.0,8
23,Introductory Digital Design Laboratory,COM SCI,M152A,16,,,2,,,1.3,0,2.0,0
24,Introduction to Probability,STATS,100A,,,,4,,,0.7,0,1.0,0
25,Software Engineering,COM SCI,130,17;19,,,4,,,3.3,0,5.0,0
26,Compiler Construction,COM SCI,132,19,,,4,,,3.3,0,5.0,0
27,Parallel and Distributed Computing,COM SCI,133,22;19,,,4,,,3.3,0,5.0,0
28,Distributed Systems,COM SCI,134,18,,,4,,,4.0,0,6.0,0
29,Introduction to Computer Security,COM SCI,136,18,,,4,,,4.0,0,6.0,0
30,Data Management Systems,COM SCI,143,2,,,4,,,3.3,1,4.0,4
31,Real-Time Three-Dimensional Animation,COM SCI,172,2,,,4,,,2.0,0,3.0,0
32,Introduction to Computer Graphics,COM SCI,174A,2,,,4,,,3.3,1,4.0,4
33,Introduction to Computer Graphics: Three-Dimensional Photography and Rendering,COM SCI,174B,32,,,4,,,2.7,0,4.0,0
34,Fundamentals of Artificial Intelligence,COM SCI,161,20,,,4,,,2.7,0,4.0,0
35,Introduction to Data Mining,COM SCI,145,30,,,4,,,2.7,0,4.0,0
36,Introduction to Machine Learning,COM SCI,146,2,,,4,,,2.0,0,3.0,0
