UC Berkeley BA,Total units: 0
UC Santa Cruz BA,Total units: 0
UC Davis,"[['ECS 132 - Probability & Statistical Modeling for Computer Science (4.00)'], ['MAT 135A - Probability (4.00)'], ['STA 131A - Introduction to Probability Theory (4.00)']]"
UC Davis,Total units: 4.0
UC Berkeley BS,Total units: 0
UC Santa Cruz BS,"[['STAT 131 - Introduction to Probability Theory (5.00)'], ['CSE 107 - Probability and Statistics for Engineers (5.00)']]"
UC Santa Cruz BS,Total units: 5.0
UC Irvine,Total units: 0
UC San Diego,Total units: 0
UC Riverside,[['STAT 155 - Probability & Statistics for Engineers (4.00)']]
UC Riverside,Total units: 4.0
UC Santa Barbara,[['PSTAT 120B - Probability and Statistics (4.00)']]
UC Santa Barbara,Total units: 4.0
UC Merced,Total units: 0
UC Los Angeles,"[['C&EE 110 - Introduction to Probability and Statistics for Engineers (4.00)'], ['EC ENGR 131A - Probability and Statistics (4.00)'], ['MATH 170A - Probability Theory I (4.00)'], ['MATH 170E - Introduction to Probability and Statistics 1 - Probability (4.00)'], ['STATS 100A - Introduction to Probability (4.00)']]"
UC Los Angeles,Total units: 4.0
CP Humboldt,Total units: 0
Stainislaus State,Total units: 0
Fresno State,Total units: 0
CSU East Bay,[['STAT 316 - Statistics and Probability for Science and Engineering (3.00)']]
CSU East Bay,Total units: 3.0
CSU Monterey Bay,Total units: 0
Sonoma State,Total units: 0
San Francisco State,Total units: 0
CSU San Marcos,Total units: 0
CSU Dominguez Hills,"[['MAT 321 - Probability and Statistics (3.00)', 'MAT 361 - Finite Automata (3.00)']]"
CSU Dominguez Hills,Total units: 6.0
CSU Channel Islands,[['MATH 352 - Probability and Statistics (3.00)']]
CSU Channel Islands,Total units: 3.0
Sacramento State,Total units: 0
San Diego State,[['STAT 550 - Applied Probability (3.00)']]
San Diego State,Total units: 3.0
San Jose State,Total units: 0
CP Pomona,Total units: 0
Chico State,[['MATH 314 - Probability and Statistics for Science and Technology (4.00)']]
Chico State,Total units: 4.0
CSU Northridge,"[['MATH 340 - Probability (3.00)'], ['MATH 341 - Applied Statistics I (3.00)']]"
CSU Northridge,Total units: 3.0
CSU Bakersfield,[['MATH 3200 - Probability Theory (4.00)']]
CSU Bakersfield,Total units: 4.0
CSU San Bernardino,Total units: 0
CSU Long Beach,[['E E 381 - Probability and Statistics with Applications to Computing (3.00)']]
CSU Long Beach,Total units: 3.0
CSU Los Angeles,Total units: 0
CSU Fullerton,Total units: 0
CP San Luis Obispo,[['STAT 312 - Statistical Methods for Engineers (4.00)']]
CP San Luis Obispo,Total units: 4.0
