UC Berkeley BA,"[['--4 units of a Design Course from the following:'],['CS 152 - Computer Architecture and Engineering (4.00)'], ['CS 160 - User Interface Design and Development (4.00)'], ['CS 161 - Computer Security (4.00)'], ['CS 162 - Operating Systems and System Programming (4.00)'], ['CS 164 - Programming Languages and Compilers (4.00)'], ['CS 168 - Introduction to the Internet - Architecture and Protocols (4.00)'], ['CS 169 - Introduction to Software Engineering (4.00)'], ['CS 169A - Software Engineering (4.00)'], ['CS 182 - Designing, Visualizing and Understanding Deep Neural Networks (4.00)'], ['CS 184 - Foundations of Computer Graphics (4.00)'], ['CS 186 - Introduction to Database Systems (4.00)'], ['EE C128 - Feedback Control Systems (4.00)'], ['EE 130 - Integrated-Circuit Devices (4.00)'], ['EE 140 - Linear Integrated Circuits (4.00)'], ['EE 143 - Microfabrication Technology (4.00)'], ['EE 192 - Mechatronic Design Laboratory (4.00)'], ['EE C106A - Introduction to Robotics (4.00)'], ['EE C106B - Robotic Manipulation and Interaction (4.00)'], ['EECS 149 - Introduction to Embedded and Cyber Physical Systems (4.00)'], ['EECS 151 - Introduction to Digital Design and Integrated Circuits (3.00)', 'CS 169L - Software Engineering Team Project (2.00)']]"
UC Berkeley BA,[['8 units upper division CS courses']]
UC Berkeley BA,[['8 units upper division CS/EE/EECS courses']]
UC Berkeley BS,"[['--Students must complete a minimum of 20 units of upper division EECS courses. One course must provide a major design experience, and be selected from the following list:'],['EE C106A - Introduction to Robotics (4.00)'],['EE C106B - Robotic Manipulation and Interaction (4.00)'],['EE C128 - Feedback Control Systems (4.00)'],['EE 130 - Integrated-Circuit Devices (4.00)'],['EE 140 - Linear Integrated Circuits (4.00)'],['EE 143 - Microfabrication Technology (4.00)'],['EE C149 - Introduction to Embedded Systems (4.00)'],['EE 192 - Mechatronic Design Laboratory (4.00)'],['CS C149 - Introduction to Embedded Systems (4.00)'],['CS 160 - User Interface Design and Development (4.00)'],['CS 162 - Operating Systems and System Programming (4.00)'],['CS 164 - Programming Languages and Compilers (4.00)'],['CS 169 - Software Engineering (4.00)'],['CS 182 - Designing, Visualizing and Understanding Deep Neural Network (4.00)'],['CS 184 - Foundations of Computer Graphics (4.00)'],['CS 186 - Introduction to Database Systems (4.00)'],['CS W186 - Introduction to Database Systems (4.00)'],['EECS 149 - Introduction to Embedded and Cyber Physical Systems (4.00)'],['EECS 151 - Introduction to Digital Design and Integrated Circuits (3.00)', 'EECS 151LA - Application Specific Integrated Circuits Laboratory (2.00)'],['EECS 151 - Introduction to Digital Design and Integrated Circuits (3.00)', 'EECS 151LB - Field-Programmable Gate Array Laboratory (2.00)']]"
UC Davis,"[['ECS 120 - Theory of Computation (4.00)'], ['ECS 122A - Algorithm Design & Analysis (4.00)']]"
UC Davis,[['ECS 132 - Probability & Statistical Modeling for Computer Science (4.00)']]
UC Davis,[['ECS 140A - Programming Languages (4.00)']]
UC Davis,[['ECS 150 - Operating Systems & System Programming (4.00)']]
UC Davis,[['ECS 152A - Computer Networks (4.00)']]
UC Davis,[['ECS 154A - Computer Architecture (4.00)']]
UC Davis,[['ECS 154B - Computer Architecture (4.00)']]
UC Davis,[['ECS 160 - Software Engineering (4.00)']]
UC Davis,[['ECS 188 - Ethics in an Age of Technology (4.00)']]
UC Davis,"[['ECS 193A', 'ECS 193B - Senior Design Project 6']]"
UC Davis,[['EEC 100 - Circuits II (5.00)']]
UC Davis,[['EEC 172 - Embedded Systems (4.00)']]
UC Irvine,"[['COMPSCI 161 - Design and Analysis of Algorithms'],['I&C SCI 139W - Critical Writing on Information Technology']]"
UC Irvine,"[['--Select 11 upper-division courses from the list below. Sections B-1 and B-2 must be completed as part of the 11 upper-division electives. 11'],['COMPSCI 103–160, 162-189'],['IN4MATX 102 - Concepts of Programming Language II'],['IN4MATX 113 - Requirements Analysis and Engineering'],['IN4MATX 115 - Software Testing, Analysis, and Quality Assurance'],['IN4MATX 117 - Project in Software System Design'],['IN4MATX 121 - Software Design - Applications'],['IN4MATX 122 - Software Design - Structure and Implementation'],['IN4MATX 124 - Internet Applications Engineering'],['IN4MATX 131 - Human Computer Interaction'],['IN4MATX 133 - User Interaction Software'],['IN4MATX 134 - Project in User Interaction Software'],['I&C SCI 161 - Game Engine Lab'],['I&C SCI 162 - Modeling and World Building']]"
UC Irvine,"[['--Choose at least two projects courses from the following list'],['COMPSCI 113 - Computer Game Development'],['COMPSCI 114 - Projects in Advanced 3D Computer Graphics'],['COMPSCI 117 - Project in Computer Vision'],['COMPSCI 118 - Introduction to Virtual Reality'],['COMPSCI 122B - Project in Databases and Web Applications'],['COMPSCI 122C - Principles of Data Management'],['COMPSCI 122D - Beyond SQL Data Management'],['COMPSCI 125 - Next Generation Search Systems'],['COMPSCI 133 - Advanced Computer Networks'],['COMPSCI 142B - Language Processor Construction'],['COMPSCI 143B - Project in Operating System Organization'],['COMPSCI 145 - Embedded Software'],['COMPSCI 147 - Internet of Things (IoT) Software and Systems'],['COMPSCI 153 - Logic Design Laboratory'],['COMPSCI 154 - Computer Design Laboratory'],['COMPSCI 165 - Project in Algorithms and Data Structures'],['COMPSCI 175 - Project in Artificial Intelligence'],['IN4MATX 117 - Project in Software System Design'],['IN4MATX 134 - Project in User Interaction Software']]"
